From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q13158	Q13158	reviewed	FADD_HUMAN	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity)	FADD MORT1 GIG3	Homo sapiens (Human)	208
P56278	P56278	reviewed	MTCP1_HUMAN	Protein p13 MTCP-1, p13MTCP1 (Mature T-cell proliferation-1 type B1, MTCP-1 type B1)	MTCP1 C6.1B	Homo sapiens (Human)	107
P24055	P24055	reviewed	TF_RABIT	Tissue factor, TF (Coagulation factor III) (CD antigen CD142)	F3	Oryctolagus cuniculus (Rabbit)	292
P01241	P01241	reviewed	SOMA_HUMAN	Somatotropin (Growth hormone, GH, GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	217
P10912	P10912	reviewed	GHR_HUMAN	Growth hormone receptor, GH receptor (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein, GH-binding protein, GHBP (Serum-binding protein) ]	GHR	Homo sapiens (Human)	638
P0AEG4	P0AEG4	reviewed	DSBA_ECOLI	Thiol:disulfide interchange protein DsbA	dsbA dsf ppfA b3860 JW3832	Escherichia coli (strain K12)	208
P68403	P68403	reviewed	KPCB_RAT	Protein kinase C beta type, PKC-B, PKC-beta, EC 2.7.11.13	Prkcb Pkcb Prkcb1	Rattus norvegicus (Rat)	671
P26446	P26446	reviewed	PARP1_CHICK	Poly [ADP-ribose] polymerase 1, PARP-1, EC 2.4.2.30 (ADP-ribosyltransferase diphtheria toxin-like 1, ARTD1) (DNA ADP-ribosyltransferase PARP1, EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1, ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1, EC 2.4.2.-)	PARP1 ADPRT	Gallus gallus (Chicken)	1011
P14061	P14061	reviewed	DHB1_HUMAN	17-beta-hydroxysteroid dehydrogenase type 1, 17-beta-HSD 1, EC 1.1.1.51 (20 alpha-hydroxysteroid dehydrogenase, 20-alpha-HSD) (E2DH) (Estradiol 17-beta-dehydrogenase 1, EC 1.1.1.62) (Placental 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 28C member 1)	HSD17B1 E17KSR EDH17B1 EDH17B2 EDHB17 SDR28C1	Homo sapiens (Human)	328
P06401	P06401	reviewed	PRGR_HUMAN	Progesterone receptor, PR (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Homo sapiens (Human)	933
P62157	P62157	reviewed	CALM_BOVIN	Calmodulin, CaM	CALM CAM	Bos taurus (Bovine)	149
P14421	P14421	reviewed	PA2N_GLOHA	Neutral phospholipase A2 agkistrodotoxin, AGTX, ATX, svPLA2, EC 3.1.1.4 (Phosphatidylcholine 2-acylhydrolase)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	122
P61586	P61586	reviewed	RHOA_HUMAN	Transforming protein RhoA, EC 3.6.5.2 (Rho cDNA clone 12, h12)	RHOA ARH12 ARHA RHO12	Homo sapiens (Human)	193
P00734	P00734	reviewed	THRB_HUMAN	Prothrombin, EC 3.4.21.5 (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain ]	F2	Homo sapiens (Human)	622
P09945	P09945	reviewed	HIRV2_HIRME	Hirudin variant-2		Hirudo medicinalis (Medicinal leech)	72
P00431	P00431	reviewed	CCPR_YEAST	Cytochrome c peroxidase, mitochondrial, CCP, EC 1.11.1.5	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361
P00131	P00131	reviewed	CYC3_DESVH	Cytochrome c3	DVU_3171	Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / NCIMB 8303 / VKM B-1760 / Hildenborough)	129
P61972	P61972	reviewed	NTF2_RAT	Nuclear transport factor 2, NTF-2	Nutf2 Ntf2	Rattus norvegicus (Rat)	127
P62825	P62825	reviewed	RAN_CANLF	GTP-binding nuclear protein Ran, EC 3.6.5.- (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN	Canis lupus familiaris (Dog) (Canis familiaris)	216
P0A749	P0A749	reviewed	MURA_ECOLI	UDP-N-acetylglucosamine 1-carboxyvinyltransferase, EC 2.5.1.7 (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase, EPT)	murA murZ b3189 JW3156	Escherichia coli (strain K12)	419
P04042	P04042	reviewed	CHEB_SALTY	Protein-glutamate methylesterase/protein-glutamine glutaminase, EC 3.1.1.61, EC 3.5.1.44	cheB STM1917	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	349
P00648	P00648	reviewed	RNBR_BACAM	Ribonuclease, EC 3.1.27.- (Barnase) (RNase Ba)		Bacillus amyloliquefaciens (Bacillus velezensis)	157
P00782	P00782	reviewed	SUBT_BACAM	Subtilisin BPN', EC 3.4.21.62 (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo)	apr	Bacillus amyloliquefaciens (Bacillus velezensis)	382
Q09099	Q09099	reviewed	CYC6_CHLBR	Cytochrome c6 (Cytochrome c-552) (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)	petJ	Chlorolobion braunii (Green alga) (Monoraphidium braunii)	89
P00644	P00644	reviewed	NUC_STAAU	Thermonuclease, TNase, EC 3.1.31.1 (Micrococcal nuclease) (Staphylococcal nuclease) [Cleaved into: Nuclease B; Nuclease A ]	nuc	Staphylococcus aureus	231
P12807	P12807	reviewed	AMO_PICAN	Peroxisomal primary amine oxidase, EC 1.4.3.21 (Copper amine oxidase) (Methylamine oxidase)	AMO	Pichia angusta (Yeast) (Hansenula polymorpha)	692
P61823	P61823	reviewed	RNAS1_BOVIN	Ribonuclease pancreatic, EC 4.6.1.18 (RNase 1) (RNase A)	RNASE1 RNS1	Bos taurus (Bovine)	150
P02586	P02586	reviewed	TNNC2_RABIT	Troponin C, skeletal muscle	TNNC2	Oryctolagus cuniculus (Rabbit)	160
P02643	P02643	reviewed	TNNI2_RABIT	Troponin I, fast skeletal muscle (Troponin I, fast-twitch isoform)	TNNI2	Oryctolagus cuniculus (Rabbit)	182
P01635	P01635	reviewed	KV5A3_MOUSE	Immunoglobulin kappa chain variable 12-41 (Ig kappa chain V-V region K2)	Igkv12-41 Gm16848	Mus musculus (Mouse)	115
P01820	P01820	reviewed	HVM44_MOUSE	Ig heavy chain V region PJ14		Mus musculus (Mouse)	115
O07883	O07883	reviewed	PCP_THELN	Pyrrolidone-carboxylate peptidase, EC 3.4.19.3 (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I, PGP-I)	pcp OCC_03923	Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C)	220
P04585	P04585	reviewed	POL_HV1H2	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17, MA; Capsid protein p24, CA; Spacer peptide 1, SP1 (p2); Nucleocapsid protein p7, NC; Transframe peptide, TF; p6-pol, p6*; Protease, EC 3.4.23.16 (PR) (Retropepsin); Reverse transcriptase/ribonuclease H, EC 2.7.7.49, EC 2.7.7.7, EC 3.1.26.13 (Exoribonuclease H, EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase, IN, EC 2.7.7.-, EC 3.1.-.- ]	gag-pol	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	1435
P11387	P11387	reviewed	TOP1_HUMAN	DNA topoisomerase 1, EC 5.6.2.1 (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
P05766	P05766	reviewed	RS15_GEOSE	30S ribosomal protein S15 (BS18)	rpsO	Geobacillus stearothermophilus (Bacillus stearothermophilus)	89
Q27450	Q27450	reviewed	CYP1_BRUMA	Peptidyl-prolyl cis-trans isomerase 1, PPIase 1, EC 5.2.1.8 (BmCYP-1) (Cyclophilin) (Rotamase 1)	CYP-1	Brugia malayi (Filarial nematode worm)	843
P17574	P17574	reviewed	COAT_STMV	Coat protein		Satellite tobacco mosaic virus (STMV)	159
P63103	P63103	reviewed	1433Z_BOVIN	14-3-3 protein zeta/delta (Factor activating exoenzyme S, FAS) (Protein kinase C inhibitor protein 1, KCIP-1)	YWHAZ	Bos taurus (Bovine)	245
P56680	P56680	reviewed	GUN1_HUMIN	Endoglucanase 1, EC 3.2.1.4 (Cellulase 1) (Endo-1,4-beta-glucanase 1) (Endoglucanase I)	CEL7B	Humicola insolens (Soft-rot fungus)	402
P00550	P00550	reviewed	PTM3C_ECOLI	PTS system mannitol-specific EIICBA component (EIICBA-Mtl, EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component, EC 2.7.1.197 (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component) ]	mtlA b3599 JW3573	Escherichia coli (strain K12)	637
P28504	P28504	reviewed	HIR2_HIRME	Hirudin-2 (Hirudin II)		Hirudo medicinalis (Medicinal leech)	65
P39765	P39765	reviewed	PYRR_BACSU	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase, UPRTase, EC 2.4.2.9 ]	pyrR BSU15470	Bacillus subtilis (strain 168)	181
P15445	P15445	reviewed	PA2A2_NAJNA	Acidic phospholipase A2 2, PLA22, svPLA2, EC 3.1.1.4 (Phosphatidylcholine 2-acylhydrolase)		Naja naja (Indian cobra)	119
P0AB80	P0AB80	reviewed	ILVE_ECOLI	Branched-chain-amino-acid aminotransferase, BCAT, EC 2.6.1.42 (Transaminase B)	ilvE b3770 JW5606	Escherichia coli (strain K12)	309
O85465	O85465	reviewed	GUN5_SALAG	Endoglucanase 5A, EC 3.2.1.4 (Alkaline cellulase) (Endo-1,4-beta-glucanase 5A)	cel5A	Salipaludibacillus agaradhaerens (Bacillus agaradhaerens)	400
P17931	P17931	reviewed	LEG3_HUMAN	Galectin-3, Gal-3 (35 kDa lectin) (Carbohydrate-binding protein 35, CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein, GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	LGALS3 MAC2	Homo sapiens (Human)	250
P01132	P01132	reviewed	EGF_MOUSE	Pro-epidermal growth factor, EGF [Cleaved into: Epidermal growth factor ]	Egf	Mus musculus (Mouse)	1217
Q00653	Q00653	reviewed	NFKB2_HUMAN	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10, Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit ]	NFKB2 LYT10	Homo sapiens (Human)	900
Q505N9	Q505N9	unreviewed	Q505N9_MOUSE	Igh protein	Igh	Mus musculus (Mouse)	468
Q52L64	Q52L64	unreviewed	Q52L64_MOUSE	ENSMUSG00000076577 protein	Igkv8-30 Gm10883	Mus musculus (Mouse)	240
P04936	P04936	reviewed	POLG_HRV2	Genome polyprotein [Cleaved into: P1; Capsid protein VP0 (VP4-VP2); Capsid protein VP4 (P1A) (Virion protein 4); Capsid protein VP2 (P1B) (Virion protein 2); Capsid protein VP3 (P1C) (Virion protein 3); Capsid protein VP1 (P1D) (Virion protein 1); P2; Protease 2A, P2A, EC 3.4.22.29 (Picornain 2A) (Protein 2A); Protein 2B, P2B; Protein 2C, P2C, EC 3.6.1.15; P3; Protein 3AB; Protein 3A, P3A; Viral protein genome-linked, VPg (Protein 3B, P3B); Protein 3CD, EC 3.4.22.28; Protease 3C, EC 3.4.22.28 (Picornain 3C, P3C); RNA-directed RNA polymerase, RdRp, EC 2.7.7.48 (3D polymerase, 3Dpol) (Protein 3D, 3D) ]		Human rhinovirus 2 (HRV-2)	2150
P63279	P63279	reviewed	UBC9_HUMAN	SUMO-conjugating enzyme UBC9, EC 2.3.2.- (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158
